"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP"
"488",14,"Kevin Austin Jr.",NO,"WR166","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"489",14,"Quinn Ewers",MIA,"QB49","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-96"
"490",14,"Albert Okwuegbunam Jr.",LV,"TE76","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"491",14,"Max Bredeson",MIN,"RB144","6","Coach Upside rating","Coach Bust rating","4 out of 5 stars","-"
"492",14,"Sione Vaki",DET,"RB145","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","5 out of 5 stars","-88"
"493",14,"Sam Roush",CHI,"TE77","10","Coach Upside rating","Coach Bust rating","2 out of 5 stars","-119"
"494",14,"Durham Smythe",BAL,"TE78","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"495",14,"JuJu Smith-Schuster",NYG,"WR167","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-117"
"496",14,"Jack Endries",CIN,"TE79","6","Coach Upside rating","Coach Bust rating","3 out of 5 stars","-130"
"497",14,"Hunter Luepke",DAL,"RB146","14","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"498",14,"Michael Burton",CLE,"RB147","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"499",14,"Alec Ingold",LAC,"RB148","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"500",14,"Diontae Johnson",FA,"WR168","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"501",14,"Drew Sample",CIN,"TE80","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-122"
"502",14,"Mo Alie-Cox",IND,"TE81","13","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"503",14,"Russell Gage Jr.",FA,"WR169","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"504",14,"Joey Slye",TEN,"K28","9","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"505",14,"Desmond Reid",FA,"RB149","-","Coach Upside rating","Coach Bust rating","-","-"
"506",14,"Myles Gaskin",FA,"RB150","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"507",14,"Pierre Strong Jr.",GB,"RB151","11","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"508",14,"Patrick Ricard",NYG,"RB152","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"509",14,"Odell Beckham Jr.",NYG,"WR170","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-195"
"510",14,"Tyler Conklin",DET,"TE82","6","Coach Upside rating–No rating available","Coach Bust rating–No rating available","3 out of 5 stars","-"
"511",14,"Nate Adkins",DEN,"TE83","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"512",14,"Adam Prentice",DEN,"RB153","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
"513",14,"Quez Watkins",PHI,"WR171","10","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"514",14,"Will Dissly",FA,"TE84","-","Coach Upside rating–No rating available","Coach Bust rating–No rating available","-","-"
"515",14,"Mecole Hardman Jr.",BUF,"WR172","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","4 out of 5 stars","-"
"516",14,"Van Jefferson",WAS,"WR173","7","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-143"
"517",14,"Moliki Matavao",NO,"TE85","8","Coach Upside rating–No rating available","Coach Bust rating–No rating available","2 out of 5 stars","-"
